用語,読み,ページ,種類,分野,国,立場,開始年,終了年,時代,メモ
河野広中,河(こう)野(の)広(ひろ)中(なか),250,人物,社会運動,日本,社会運動家,1880,1923,,
高師直,高(こうの)師(もろ)直(なお),112,人物,戦争・軍事;政治・政策,日本,武家,1336,1351,,
公武合体,公(こう)武(ぶ)合(がっ)体(たい),224,法令・政策,政治・政策,,,1860,1864,,
興福寺,興(こう)福(ふく)寺(じ),43,寺社・遺跡・場所,仏教,,,710,710,,
興福寺仏頭,興(こう)福(ふく)寺(じ)仏(ぶっ)頭(とう),49,作品,美術・建築;仏教,,,685,685,,
工部省,工(こう)部(ぶ)省(しょう),240,組織・団体・政党,産業・工業,,,1870,1885,,
光武帝,光(こう)武(ぶ)帝(てい),18,人物,対外関係,中国,国王・皇帝（外国）,25,57,,
工部美術学校,工(こう)部(ぶ)美(び)術(じゅつ)学(がっ)校(こう),292,組織・団体・政党,美術・建築;教育,,,1876,1883,,
弘文院,弘(こう)文(ぶん)院(いん),59,組織・団体・政党,教育,,,800,800,,
高弁,高(こう)弁(べん),106,人物,仏教,日本,僧侶・宗教家,1206,1232,,明恵
光明子（光明皇太后）,光(こう)明(みょう)子(し)（光(こう)明(みょう)皇(こう)太(たい)后(ごう)）,45;54,人物,政治・政策;仏教;女性,日本,天皇・皇族,729,760,,
光明天皇,光(こう)明(みょう)天(てん)皇(のう),112,人物,政治・政策,日本,天皇・皇族,1336,1348,,
皇民化政策,皇(こう)民(みん)化(か)政(せい)策(さく),318,法令・政策,植民地,,,1937,1945,,
孝明天皇,孝(こう)明(めい)天(てん)皇(のう),222,人物,政治・政策,日本,天皇・皇族,1846,1866,,
公明党,公(こう)明(めい)党(とう),344,組織・団体・政党,政治・政策,,,1964,1964,,
紅毛人,紅(こう)毛(もう)人(じん),160,その他,対外関係,,,1600,1641,,
河本大作,河(こう)本(もと)大(だい)作(さく),303,人物,戦争・軍事,日本,軍人,1928,1928,,
高野山,高(こう)野(や)山(さん),59,寺社・遺跡・場所,仏教,,,816,816,,
高野詣,高(こう)野(や)詣(もうで),79,その他,仏教,,,1090,1200,,
高麗,高(こう)麗(らい),65,国・地域・王朝,対外関係,,,918,1392,,
小売商人,小(こ)売(うり)商(しょう)人(にん),175,その他,商業・流通・都市,,,,,江戸,
公領,公(こう)領(りょう),76,制度・役職,土地・税制,,,,,平安;鎌倉,
幸若舞,幸(こう)若(わか)舞(まい),130,文化・流派,芸能,,,,,室町,
評,評(こおり),37,制度・役職,法制・制度,,,646,701,,
御恩,御(ご)恩(おん),92,制度・役職,身分・社会構造,,,1185,1333,,
五街道,五(ご)街(かい)道(どう),182,寺社・遺跡・場所,商業・流通・都市,,,,,江戸,
古学派,古(こ)学(がく)派(は),189,文化・流派,思想・学問,,,1660,1730,,
古河公方,古(こ)河(が)公(く)方(ぼう),132,制度・役職,政治・政策,,,1455,1583,,
五箇条の誓文,五(ご)箇(か)条(じょう)の誓(せい)文(もん),228;232,法令・政策,政治・政策,,,1868,1868,,
五カ所商人,五(ご)カ所(しょ)商(しょう)人(にん),161,組織・団体・政党,対外関係;商業・流通・都市,,,1631,1655,,
古賀精里,古(こ)賀(が)精(せい)里(り),205,人物,思想・学問,日本,学者・思想家,1796,1817,,
後漢書東夷伝,後(ご)漢(かん)書(じょ)東(とう)夷(い)伝(でん),17;20,書物・史料,対外関係,,,,,弥生,
古義堂,古(こ)義(ぎ)堂(どう),201,組織・団体・政党,教育,,,1662,1906,,
古今伝授,古(こ)今(きん)伝(でん)授(じゅ),129,その他,文学,,,1471,1600,,
古今和歌集,古(こ)今(きん)和(わ)歌(か)集(しゅう),63;65,書物・史料,文学,,,905,905,,
国衙,国(こく)衙(が),44,寺社・遺跡・場所,政治・政策,,,,,奈良;平安,
国学［古代］,国(こく)学(がく)［古(こ)代(だい)］,51,組織・団体・政党,教育,,,,,奈良;平安,
国学［近世］,国(こく)学(がく)［近(きん)世(せい)］,190;199,文化・流派,思想・学問,,,1680,1850,,
国衙領,国(こく)衙(が)領(りょう),76,制度・役職,土地・税制,,,,,平安;鎌倉,
国・郡・里,国(こく)・郡(ぐん)・里(り),39,制度・役職,法制・制度,,,701,715,,
国際通貨基金,国(こく)際(さい)通(つう)貨(か)基(き)金(きん),345,組織・団体・政党,貨幣・金融;対外関係,,,1945,1945,,IMF
国際復興開発銀行,国(こく)際(さい)復(ふっ)興(こう)開(かい)発(はつ)銀(ぎん)行(こう),333,組織・団体・政党,貨幣・金融;対外関係,,,1945,1945,,IBRD（世界銀行）
国際連合,国(こく)際(さい)連(れん)合(ごう),325,組織・団体・政党,対外関係,,,1945,1945,,
国際連盟,国(こく)際(さい)連(れん)盟(めい),272,組織・団体・政党,対外関係,,,1920,1946,,
国際連盟脱退,国(こく)際(さい)連(れん)盟(めい)脱(だっ)退(たい),307,事件・戦争・乱,対外関係,,,1933,1933,,
国策,国(こく)策(さく),314,その他,政治・政策,,,1936,1945,,要確認：用語名が読み取りにくい
国司,国(こく)司(し),39,制度・役職,政治・政策,,,,,飛鳥;奈良;平安,
国人,国(こく)人(じん),113,その他,身分・社会構造;戦争・軍事,,,,,室町,
国人一揆,国(こく)人(じん)一(いっ)揆(き),114,事件・戦争・乱,一揆・打ちこわし,,,,,室町,
国性（姓）爺合戦,国(こく)性(せん)（姓(せん)）爺(や)合(かっ)戦(せん),188,作品,芸能;文学,,,1715,1715,,
国訴,国(こく)訴(そ),211,事件・戦争・乱,一揆・打ちこわし;商業・流通・都市,,,1823,1823,,
国体の本義,国(こく)体(たい)の本(ほん)義(ぎ),315,書物・史料,思想・学問;教育,,,1937,1937,,
国体明徴声明,国(こく)体(たい)明(めい)徴(ちょう)声(せい)明(めい),309,法令・政策,思想・学問,,,1935,1935,,
石高,石(こく)高(だか),143;155,制度・役職,土地・税制,,,1582,1873,,
国定教科書,国(こく)定(てい)教(きょう)科(か)書(しょ),290,その他,教育,,,1903,1947,,
国府,国(こ)府(くふ),44,寺社・遺跡・場所,政治・政策,,,,,奈良;平安,
国風文化,国(こく)風(ふう)文(ぶん)化(か),65,文化・流派,文学;美術・建築,,,894,1086,,
国分寺,国(こく)分(ぶん)寺(じ),44;46,寺社・遺跡・場所,仏教,,,741,741,,
国分寺建立の詔,国(こく)分(ぶん)寺(じ)建(こん)立(りゅう)の詔(みことのり),46,法令・政策,仏教,,,741,741,,
国分尼寺,国(こく)分(ぶん)尼(に)寺(じ),46,寺社・遺跡・場所,仏教,,,741,741,,
国防会議,国(こく)防(ぼう)会(かい)議(ぎ),341,組織・団体・政党,戦争・軍事,,,1956,1986,,
国民学校,国(こく)民(みん)学(がっ)校(こう),318,組織・団体・政党,教育;戦争・軍事,,,1941,1947,,
国民協会,国(こく)民(みん)協(きょう)会(かい),255,組織・団体・政党,政治・政策,,,1892,1899,,
国民協同党,国(こく)民(みん)協(きょう)同(どう)党(とう),332,組織・団体・政党,政治・政策,,,1947,1950,,
国民精神総動員運動,国(こく)民(みん)精(せい)神(しん)総(そう)動(どう)員(いん)運(うん)動(どう),315,事件・戦争・乱,戦争・軍事,,,1937,1940,,
国民徴用令,国(こく)民(みん)徴(ちょう)用(よう)令(れい),314,法令・政策,戦争・軍事,,,1939,1939,,
国民之友,国(こく)民(みんの)之(の)友(とも),251,書物・史料,思想・学問,,,1887,1898,,
国免荘,国(こく)免(めん)荘(しょう),71,その他,土地・税制,,,,,平安,
黒曜石,黒(こく)曜(よう)石(せき),11,その他,考古,,,,,縄文,
国立銀行,国(こく)立(りつ)銀(ぎん)行(こう),279,組織・団体・政党,貨幣・金融,,,1873,1899,,
国立銀行条例,国(こく)立(りつ)銀(ぎん)行(こう)条(じょう)例(れい),279,法令・政策,貨幣・金融,,,1872,1872,,
国連加盟,国(こく)連(れん)加(か)盟(めい),341,事件・戦争・乱,対外関係,,,1956,1956,,
国連平和維持活動,国(こく)連(れん)平(へい)和(わ)維(い)持(じ)活(かつ)動(どう),360,その他,対外関係;戦争・軍事,,,1992,1992,,PKO
国連平和維持活動協力法,国(こく)連(れん)平(へい)和(わ)維(い)持(じ)活(かつ)動(どう)協(きょう)力(りょく)法(ほう),360,法令・政策,対外関係;戦争・軍事,,,1992,1992,,PKO協力法
御家人［中世］,御(ご)家(け)人(にん)［中(ちゅう)世(せい)］,82;92,その他,身分・社会構造;戦争・軍事,,,1180,1333,,
御家人［近世］,御(ご)家(け)人(にん)［近(きん)世(せい)］,156,その他,身分・社会構造,,,1603,1867,,
護憲運動（第1次）,護(ご)憲(けん)運(うん)動(どう)（第(だい)1次(じ)）,267,事件・戦争・乱,社会運動;政治・政策,,,1912,1913,,
護憲運動（第2次）,護(ご)憲(けん)運(うん)動(どう)（第(だい)2次(じ)）,277,事件・戦争・乱,社会運動;政治・政策,,,1924,1924,,
護憲三派,護(ご)憲(けん)三(さん)派(ぱ),277,組織・団体・政党,政治・政策,,,1924,1925,,
小御所会議,小(こ)御(ご)所(しょ)会(かい)議(ぎ),228,条約・協定・会議,政治・政策,,,1867,1867,,
古今著聞集,古(こ)今(こん)著(ちょ)聞(もん)集(じゅう),107,書物・史料,文学,,,1254,1254,,
後嵯峨上皇,後(ご)嵯(さ)峨(が)上(じょう)皇(こう),97,人物,政治・政策,日本,天皇・皇族,1246,1272,,
小作争議,小(こ)作(さく)争(そう)議(ぎ),288,事件・戦争・乱,農民運動,,,1917,1941,,
小作農,小(こ)作(さく)農(のう),249,その他,農林漁業;身分・社会構造,,,1880,1946,,
五山・十刹,五(ご)山(ざん)・十(じっ)刹(せつ),126,制度・役職,仏教,,,1386,1500,,
五・三〇事件,五(ご)・三(さん)〇(まる)事(じ)件(けん),275,事件・戦争・乱,対外関係;労働運動,,,1925,1925,,
後三条天皇,後(ご)三(さん)条(じょう)天(てん)皇(のう),76,人物,政治・政策,日本,天皇・皇族,1068,1073,,
後三年合戦,後(ご)三(さん)年(ねん)合(かっ)戦(せん),77,事件・戦争・乱,戦争・軍事,,,1083,1087,,
後三年合戦絵巻,後(ご)三(さん)年(ねん)合(かっ)戦(せん)絵(え)巻(まき),83,作品,美術・建築,,,1171,1171,,
五山版,五(ご)山(ざん)版(ばん),127,書物・史料,仏教;文学,,,,,室町,
五山文学,五(ご)山(ざん)文(ぶん)学(がく),127,文化・流派,文学;仏教,,,,,室町,
五・四運動,五(ご)・四(し)運(うん)動(どう),273,事件・戦争・乱,対外関係;社会運動,,,1919,1919,,
古事記,古(こ)事(じ)記(き),28;50,書物・史料,文学;思想・学問,,,712,712,,
五色の賤,五(ご)色(しき)の賤(せん),41,制度・役職,身分・社会構造,,,,,奈良,
古寺巡礼,古(こ)寺(じ)巡(じゅん)礼(れい),298,書物・史料,思想・学問,,,1919,1919,,
越荷方,越(こし)荷(に)方(かた),212,制度・役職,商業・流通・都市;政治・政策,,,1838,1850,,
児島惟謙,児(こ)島(じま)惟(い)謙(けん),257,人物,法制・制度,日本,政治家,1891,1892,,
コシャマイン,コシャマイン,119,人物,北方・アイヌ,日本,その他,1457,1457,,
55年体制,55年(ねん)体(たい)制(せい),341,その他,政治・政策,,,1955,1993,,
呉春,呉(ご)春(しゅん),217,人物,美術・建築,日本,芸術家,1780,1811,,
古浄瑠璃,古(こ)浄(じょう)瑠(る)璃(り),130,文化・流派,芸能,,,,,室町;江戸,
後白河天皇（上皇）,後(ご)白(しら)河(かわ)天(てん)皇(のう)（上(じょう)皇(こう)）,78;81,人物,政治・政策,日本,天皇・皇族,1155,1192,,
子代,子(こ)代(しろ),32,制度・役職,身分・社会構造,,,,,古墳,
小新聞,小(こ)新(しん)聞(ぶん),251,その他,文学;生活・風俗,,,1874,1890,,
御親兵,御(ご)親(しん)兵(ぺい),236,組織・団体・政党,戦争・軍事,,,1871,1872,,
後朱雀天皇,後(ご)朱(す)雀(ざく)天(てん)皇(のう),64,人物,政治・政策,日本,天皇・皇族,1036,1045,,
御成敗式目,御(ご)成(せい)敗(ばい)式(しき)目(もく),95;112;131,法令・政策,法制・制度,,,1232,1232,,
戸籍,戸(こ)籍(せき),40,書物・史料,土地・税制,,,,,飛鳥;奈良,
五節句,五(ご)節(せっ)句(く),218,その他,生活・風俗,,,,,江戸,
御前帳,御(ご)前(ぜん)帳(ちょう),145,書物・史料,土地・税制,,,1591,1591,,
小袖,小(こ)袖(そで),148,その他,生活・風俗,,,,,室町;安土桃山;江戸,
五大改革,五(ご)大(だい)改(かい)革(かく),327,法令・政策,政治・政策,,,1945,1945,,
後醍醐天皇,後(ご)醍(だい)醐(ご)天(てん)皇(のう),107;110,人物,政治・政策,日本,天皇・皇族,1318,1339,,
五大老,五(ご)大(たい)老(ろう),146,制度・役職,政治・政策,,,1598,1600,,
国会開設の勅諭,国(こっ)会(かい)開(かい)設(せつ)の勅(ちょく)諭(ゆ),249,法令・政策,政治・政策,,,1881,1881,,
国会期成同盟,国(こっ)会(かい)期(き)成(せい)同(どう)盟(めい),248,組織・団体・政党,社会運動,,,1880,1881,,
国家改造運動,国(こっ)家(か)改(かい)造(ぞう)運(うん)動(どう),306,事件・戦争・乱,政変・事件・反乱;思想・学問,,,1930,1936,,
骨角器,骨(こっ)角(かく)器(き),10,その他,考古,,,,,縄文,
国家社会主義,国(こっ)家(か)社(しゃ)会(かい)主(しゅ)義(ぎ),308,文化・流派,思想・学問;社会運動,,,1932,1945,,
国家主義,国(こっ)家(か)主(しゅ)義(ぎ),260,文化・流派,思想・学問,,,1890,1945,,要確認：ページ番号
国家総動員法,国(こっ)家(か)総(そう)動(どう)員(いん)法(ほう),313,法令・政策,戦争・軍事,,,1938,1938,,
国共合作（第1次）,国(こっ)共(きょう)合(がっ)作(さく)（第(だい)1次(じ)）,302,条約・協定・会議,対外関係,,,1924,1927,,
国共合作（第2次）,国(こっ)共(きょう)合(がっ)作(さく)（第(だい)2次(じ)）,312,条約・協定・会議,対外関係,,,1937,1945,,
滑稽本,滑(こっ)稽(けい)本(ぼん),216,文化・流派,文学,,,1800,1850,,
国権論,国(こっ)権(けん)論(ろん),251,文化・流派,思想・学問,,,1880,1895,,要確認：ページ番号
固定相場制,固(こ)定(てい)相(そう)場(ば)制(せい),345;353,制度・役職,貨幣・金融,,,1949,1973,,要確認：ページ番号
後藤庄三郎,後(ご)藤(とう)庄(しょう)三(ざぶ)郎(ろう),184,人物,貨幣・金融,日本,実業家,1595,1625,,
後藤象二郎,後(ご)藤(とう)象(しょう)二(じ)郎(ろう),227;246,人物,政治・政策,日本,政治家,1867,1897,,
後藤祐乗,後(ご)藤(とう)祐(ゆう)乗(じょう),129,人物,美術・建築,日本,芸術家,1460,1512,,
後鳥羽上皇,後(ご)鳥(と)羽(ば)上(じょう)皇(こう),94,人物,政治・政策,日本,天皇・皇族,1198,1221,,
小西行長,小(こ)西(にし)行(ゆき)長(なが),146;159,人物,戦争・軍事;キリスト教,日本,武家,1585,1600,,
小西隆佐,小(こ)西(にし)隆(りゅう)佐(さ),144,人物,商業・流通・都市,日本,実業家,1580,1593,,
五人組,五(ご)人(にん)組(ぐみ),169,制度・役職,身分・社会構造,,,,,江戸,
近衛声明,近(この)衛(え)声(せい)明(めい),312,法令・政策,対外関係;戦争・軍事,,,1938,1938,,
近衛文麿,近(この)衛(え)文(ふみ)麿(まろ),310,人物,政治・政策,日本,政治家,1937,1941,,
小林一三,小(こ)林(ばやし)一(いち)三(ぞう),297,人物,産業・工業,日本,実業家,1910,1940,,
小林一茶,小(こ)林(ばやし)一(いっ)茶(さ),216,人物,文学,日本,文学者,1790,1827,,
小林多喜二,小(こ)林(ばやし)多(た)喜(き)二(じ),299,人物,文学,日本,文学者,1929,1933,,
五品江戸廻送令,五(ご)品(ひん)江(え)戸(ど)廻(かい)送(そう)令(れい),224,法令・政策,商業・流通・都市;対外関係,,,1860,1860,,
後深草上皇,後(ご)深(ふか)草(くさ)上(じょう)皇(こう),110,人物,政治・政策,日本,天皇・皇族,1246,1304,,
五奉行,五(ご)奉(ぶ)行(ぎょう),146,制度・役職,政治・政策,,,1585,1600,,
古墳,古(こ)墳(ふん),24,その他,考古,,,,,古墳,
五榜の掲示,五(ご)榜(ぼう)の掲(けい)示(じ),229,法令・政策,政治・政策;キリスト教,,,1868,1868,,
小牧・長久手の戦い,小(こ)牧(まき)・長(なが)久(く)手(て)の戦(たたか)い,142,事件・戦争・乱,戦争・軍事,,,1584,1584,,
後水尾天皇,後(ご)水(みず)尾(のお)天(てん)皇(のう),157,人物,政治・政策,日本,天皇・皇族,1611,1629,,
小村寿太郎,小(こ)村(むら)寿(じゅ)太(た)郎(ろう),257,人物,対外関係,日本,政治家,1901,1911,,
米騒動,米(こめ)騒(そう)動(どう),271,事件・戦争・乱,社会運動;一揆・打ちこわし,,,1918,1918,,
